iteration,operator_0,operator_1,operator_2,operator_3
1108,0,-51169837,0,0
1109,-78118,0,0,0
1110,0,0,0,0
1111,-51091719,0,0,0
1112,0,-51091719,0,0
1113,0,-66962,0,0
1114,-51024757,0,0,0
1115,28871,0,0,0
1116,0,0,0,0
1117,-28961,0,0,0
1118,440913,0,0,0
1119,-378211,0,0,0
1120,0,-51087369,0,0
1121,0,-51087369,0,0
1122,-51087369,0,0,0
1123,-51087369,0,0,0
1124,0,-51087369,0,0
1125,0,-51087369,0,0
1126,0,0,0,-51087369
1127,0,0,0,-51087369
1128,0,-51087369,0,0
1129,0,-51087369,0,0
1130,0,0,-51087369,0
1131,0,0,0,0
1132,0,0,-51087369,0
1133,0,-101497,0,0
1134,-83097,0,0,0
